article_idx,pmid,title,bertopic_topic,display_label
32469,39531844,Cell-Free DNA in Hematologic Malignancies.,2,2_cells_cancer_cell_expression
32470,39530285,Immunogenicity of two-dose sinopharm BBIB-CorV vaccine in Morocco: One-year follow-up and neutralizing activity against severe acute respiratory syndrome coronavirus 2 variants of concern.,9,9_sarscov2_virus_viral_covid19
32471,39529466,"BIC/FTC/TAF Benefits People Living With HIV After Omicron Breakthrough Infection in Shortening Duration of Symptoms, Enhancing Specific Immune Response and Increasing Total CD4 Cells.",7,7_title_abstract_cell_cells
32472,39528699,Navigating human embryogenesis through tailored model selection.,2,2_cells_cancer_cell_expression
32473,39513228,The Two Faces of HDAC3: Neuroinflammation in Disease and Neuroprotection in Recovery.,7,7_title_abstract_cell_cells
32474,39508739,Dicer-2 mutations in Aedes aegypti cells lead to a diminished antiviral function against Rift Valley fever virus and Bunyamwera virus infection.,4,4_abstract_title_cells_cell
32475,39508403,Hypoxia and TNF-alpha modulate extracellular vesicle release from human induced pluripotent stem cell-derived cardiomyocytes.,3,3_abstract_title_cells_cell
32476,39505512,Prostate cancer theragnostics biomarkers: An update.,2,2_cells_cancer_cell_expression
32477,39499037,Isolation of Small Extracellular Vesicles (sEVs) from the Apoplastic Wash Fluid of Nicotiana benthamiana Leaves.,2,2_cells_cancer_cell_expression
32478,39498863,The Fourth Annual Symposium of the Midwest Aging Consortium.,7,7_title_abstract_cell_cells
32479,39494767,The Impact of Maternal Passive Tobacco Smoke on Neonatal Myocardiopathy in Mice.,4,4_abstract_title_cells_cell
32480,39487448,The Amphibian Genomics Consortium: advancing genomic and genetic resources for amphibian research and conservation.,8,8_abstract_title_biology_molecular
32481,39487222,Iroquois homeobox 4 (IRX4) derived micropeptide promotes prostate cancer progression and chemoresistance through Wnt signalling dysregulation.,2,2_cells_cancer_cell_expression
32482,39485254,Targeting Noncoding cis-Regulatory Elements for Cancer Therapy in the Context of the 3D Genome.,6,6_proteins_cell_protein_abstract
32483,39478111,A multi-modal single-cell and spatial expression map of metastatic breast cancer biopsies across clinicopathological features.,0,0_cells_cell_abstract_title
32484,39477780,Towards integrated malaria molecular surveillance in Africa.,9,9_sarscov2_virus_viral_covid19
32485,39472696,Collateral sensitivity counteracts the evolution of antifungal drug resistance in Candida auris.,4,4_abstract_title_cells_cell
32486,39468247,PcdA promotes orthogonal division plane selection in Staphylococcus aureus.,7,7_title_abstract_cell_cells
32487,39454315,Decoy oligodeoxynucleotides: A promising therapeutic strategy for inflammatory skin disorders.,0,0_cells_cell_abstract_title
32488,39446242,An exploratory study of perceptions and utilization of genetic information in the intended parent experience of oocyte donor selection.,0,0_cells_cell_abstract_title
32489,39443803,Neural crest lineage in the protovertebrate model Ciona.,6,6_proteins_cell_protein_abstract
32490,39443791,A transcriptomic hourglass in brown algae.,1,1_abstract_title_cells_cell
32491,39427540,Exploring the role of genetic variability and exposure to bisphenols and parabens on excess body weight in Spanish children.,11,11_patients_study_95_risk
32492,39426752,Metal-oxide nanocatalysts for spontaneous sequestration of endocrine-disrupting compounds from wastewater.,1,1_abstract_title_cells_cell
32493,39425790,Methodologies underpinning polygenic risk scores estimation: a comprehensive overview.,1,1_abstract_title_cells_cell
32494,39424574,Schistosome and malaria exposure and urban-rural differences in vaccine responses in Uganda: a causal mediation analysis using data from three linked randomised controlled trials.,9,9_sarscov2_virus_viral_covid19
32495,39417817,Microphysiological systems to advance human pathophysiology and translational medicine.,1,1_abstract_title_cells_cell
32496,39416657,A Systematic Review and Meta-Analysis of Anxiety- and Depressive-Like Behaviors in Rodent Models of Neuropathic Pain.,2,2_cells_cancer_cell_expression
32497,39415849,"Hypoxia and aging: molecular mechanisms, diseases, and therapeutic targets.",0,0_cells_cell_abstract_title
32498,39415071,Predicting physicochemical properties of papayas (Carica papaya L.) using a convolutional neural networks model approach.,8,8_abstract_title_biology_molecular
32499,39405897,The colony-stimulating factor-1 receptor inhibitor edicotinib counteracts multidrug resistance in cancer cells by inhibiting ABCG2-mediated drug efflux.,0,0_cells_cell_abstract_title
32500,39395791,GCKIII kinases control hepatocellular lipid homeostasis via shared mode of action.,3,3_abstract_title_cells_cell
32501,39390687,"Small non-coding RNAs as diagnostic, prognostic and predictive biomarkers of gynecological cancers: an update.",1,1_abstract_title_cells_cell
32502,39389361,Proteomic Characterization of Ubiquitin Carboxyl-Terminal Hydrolase 19 Deficient Cells Reveals a Role for USP19 in the Secretion of Lysosomal Proteins.,6,6_proteins_cell_protein_abstract
32503,39388855,FMRP protects breast cancer cells from ferroptosis by promoting SLC7A11 alternative splicing through interacting with hnRNPM.,4,4_abstract_title_cells_cell
32504,39384042,Cellular NS1-BP protein interacts with the mRNA export receptor NXF1 to mediate nuclear export of influenza virus M mRNAs.,9,9_sarscov2_virus_viral_covid19
32505,39383902,Diverse applications of versatile quaternized chitosan salts: A review.,8,8_abstract_title_biology_molecular
32506,39378797,Exploring circulating MiRNA signature for osteosarcoma detection: Bioinformatics-based analyzing and validation.,4,4_abstract_title_cells_cell
32507,39374829,Nutritional factors and physical frailty: Highlighting the role of functional nutrients in the prevention and treatment.,11,11_patients_study_95_risk
32508,39369277,Argentina-Alzheimer's Disease Neuroimaging Initiative: pioneering Alzheimer's Research in Latin America and its Implications for Regional Advancement.,11,11_patients_study_95_risk
32509,39369165,Stromal androgen signaling governs essential niches in supporting prostate development and tumorigenesis.,0,0_cells_cell_abstract_title
32510,39366135,Advancements in fourth-generation EGFR TKIs in EGFR-mutant NSCLC: Bridging biological insights and therapeutic development.,0,0_cells_cell_abstract_title
32511,39362132,The impact of exosomes on bone health: A focus on osteoporosis.,5,5_abstract_title_cells_cancer
32512,39360552,Laser NIR Irradiation Enhances Antimicrobial Photodynamic Inactivation of Biofilms of Staphylococcus aureus.,10,10_resistance_isolates_strains_study
32513,39359187,Early elevations in arterial pressure: a contributor to rapid depressive symptom emergence in female Zucker rats with metabolic disease?,2,2_cells_cancer_cell_expression
32514,39358450,Recording morphogen signals reveals mechanisms underlying gastruloid symmetry breaking.,3,3_abstract_title_cells_cell
32515,39326775,Exploring the connection between HLA class I and class II genotypes and diabetic retinopathy: A comprehensive review of experimental evidence.,2,2_cells_cancer_cell_expression
32516,39326689,Prophenoloxidase-activating system plays a crucial role in innate immune responses to Enterocytozoon hepatopenaei infection in shrimp Litopenaeus vannamei.,0,0_cells_cell_abstract_title
32517,39326071,"Unraveling the nexus of oxidative stress, ocular diseases, and small extracellular vesicles to identify novel glaucoma biomarkers through in-depth proteomics.",2,2_cells_cancer_cell_expression
32518,39325509,New and emerging technologies for pretransfusion blood quality assessment: A state-of-the-art review.,8,8_abstract_title_biology_molecular
32519,39321512,Innovative lipid nanoparticles: A cutting-edge approach for potential renal cell carcinoma therapeutics.,1,1_abstract_title_cells_cell
32520,39320577,Clinical Applications and Advancements of Positron Emission Tomography/Computed Tomography in Cardio-Oncology: A Comprehensive Literature Review and Emerging Perspectives.,7,7_title_abstract_cell_cells
32521,39307307,Oxygen-dependent regulation of F-box proteins in Toxoplasma gondii is mediated by Skp1 glycosylation.,4,4_abstract_title_cells_cell
32522,39306214,Schisandrin A: A sustainable antiviral and immunomodulatory agent against spring viraemia of carp virus in aquaculture.,1,1_abstract_title_cells_cell
32523,39304781,High-throughput identification of repurposable neuroactive drugs with potent anti-glioblastoma activity.,0,0_cells_cell_abstract_title
32524,39303893,Trained immunity-based vaccines for infections and allergic diseases.,0,0_cells_cell_abstract_title
32525,39298911,Cytotoxicity and mechanisms of perfluorobutane sulfonate (PFBS) in umbilical cord fibroblast cells of Yangtze finless porpoise.,8,8_abstract_title_biology_molecular
32526,39297738,Frequency of and Risk Factors for Increased Healthcare Utilization After Pediatric Sepsis Hospitalization.,11,11_patients_study_95_risk
32527,39293594,Identification of antibody-resistant SARS-CoV-2 mutants via N4-Hydroxycytidine mutagenesis.,9,9_sarscov2_virus_viral_covid19
32528,39293347,Benchmarking whole exome sequencing in the German network for personalized medicine.,7,7_title_abstract_cell_cells
32529,39287635,The role of circular RNA targeting IGF2BPs in cancer-a potential target for cancer therapy.,6,6_proteins_cell_protein_abstract
32530,39277088,Chatbots are just as good as professors in both factual recall and clinical scenario analysis: Emergence of a new tool in clinical microbiology and infectious disease.,4,4_abstract_title_cells_cell
32531,39271577,Diffuse Gastric Cancer: A Comprehensive Review of Molecular Features and Emerging Therapeutics.,5,5_abstract_title_cells_cancer
32532,39268405,Traumatic brain injury: Advances in coagulopathy (Review).,3,3_abstract_title_cells_cell
32533,39246549,Multi-adductomics: Advancing mass spectrometry techniques for comprehensive exposome characterization.,7,7_title_abstract_cell_cells
32534,39245215,Cytochrome P450 monooxygenase systems: Diversity and plasticity for adaptive stress response.,1,1_abstract_title_cells_cell
32535,39234807,Spatial Transcriptomic Study Reveals Heterogeneous Metabolic Adaptation and a Role of Pericentral PPARα/CAR/Ces2a Axis During Fasting in Mouse Liver.,1,1_abstract_title_cells_cell
32536,39233537,Origin and evolution of microvilli.,5,5_abstract_title_cells_cancer
32537,39232285,Effects of the oxoaporphine alkaloid hernandonine on dengue virus. Evidence for its mechanisms of action.,9,9_sarscov2_virus_viral_covid19
32538,39230627,Baseline sLAG-3 levels in Caucasian and African-American breast cancer patients.,11,11_patients_study_95_risk
32539,39226661,PLXNA1 confers enzalutamide resistance in prostate cancer via AKT signaling pathway.,1,1_abstract_title_cells_cell
32540,39217797,Harnessing native-cryptic plasmids for stable overexpression of heterologous genes in Clostridium butyricum DSM 10702 for industrial and medical applications.,0,0_cells_cell_abstract_title
32541,39217196,Impact of clonal TP53 mutations with loss of heterozygosity on adjuvant chemotherapy and immunotherapy in gastric cancer.,5,5_abstract_title_cells_cancer
32542,39208897,Structural elucidation of a capsular polysaccharide from Bacteroides uniformis and its ameliorative impact on DSS-induced colitis in mice.,3,3_abstract_title_cells_cell
32543,39198689,Phase separation of phospho-HDAC6 drives aberrant chromatin architecture in triple-negative breast cancer.,7,7_title_abstract_cell_cells
32544,39194376,Ubiquitin-mediated endosomal stress: A novel organelle stress of early endosomes that initiates cellular signaling pathways: USP8 serves as a gatekeeper of ubiquitin-mediated endosomal stress to counteract the activation of cellular signaling pathways.,4,4_abstract_title_cells_cell
32545,39192017,"Effects of novel flame retardants tris(1,3-dichloro-2-propyl) phosphate (TDCIPP) and triphenyl phosphate (TPhP) on function and homeostasis in human and rat pancreatic beta-cell lines.",3,3_abstract_title_cells_cell
32546,39180335,BioASQ Synergy: a dialogue between question-answering systems and biomedical experts for promoting COVID-19 research.,5,5_abstract_title_cells_cancer
32547,39167243,Dendritic cell vaccine for glioblastoma: an updated meta-analysis and trial sequential analysis.,7,7_title_abstract_cell_cells
32548,39163590,Reconstructing Early Microbial Life.,5,5_abstract_title_cells_cancer
32549,39159867,Immunoregulatory Properties of Immune Cells that Associate with the Lens Capsule Surface during Acute and Resolution Phases of Experimental Autoimmune Uveitis.,1,1_abstract_title_cells_cell
32550,39159790,Fibronectin isoforms promote postnatal skeletal development.,2,2_cells_cancer_cell_expression
32551,39155769,A fungal plant pathogen overcomes mlo-mediated broad-spectrum disease resistance by rapid gene loss.,1,1_abstract_title_cells_cell
32552,39155323,An in-depth review of the function of RNA-binding protein FXR1 in neurodevelopment.,1,1_abstract_title_cells_cell
32553,39153518,Inflammatory plasma profile in genetic symptomatic and presymptomatic Frontotemporal Dementia - A GENFI study.,2,2_cells_cancer_cell_expression
32554,39152641,"The medical and functional burden of surviving childhood ependymoma: A population-based study in Ontario, Canada.",11,11_patients_study_95_risk
32555,39150389,Progress in physiologically based pharmacokinetic-pharmacodynamic models of amino acids in humans.,1,1_abstract_title_cells_cell
32556,39146876,High fat diet consumption and social instability stress impair stress adaptation and maternal care in C57Bl/6 dams.,0,0_cells_cell_abstract_title
32557,39134649,A nuclear jamming transition in vertebrate organogenesis.,3,3_abstract_title_cells_cell
32558,39133039,Recycling the recyclers: lysophagy emerges as a new pharmacological target for retinal degeneration.,1,1_abstract_title_cells_cell
32559,39128571,Alpha-synuclein fine-tunes neuronal response to pro-inflammatory cytokines.,2,2_cells_cancer_cell_expression
32560,39121541,"Methanobactins: Structures, Biosynthesis, and Microbial Diversity.",3,3_abstract_title_cells_cell
32561,39109950,The Construction of Stem Cell-Induced Hepatocyte Model and Its Application in Evaluation of Developmental Hepatotoxicity of Environmental Pollutants.,1,1_abstract_title_cells_cell
32562,39107446,Mechanisms of autophagy-lysosome dysfunction in neurodegenerative diseases.,7,7_title_abstract_cell_cells
32563,39105568,Repurposing NAMPT Inhibitors for Germinal Center B Cell-Like Diffuse Large B-Cell Lymphoma.,5,5_abstract_title_cells_cancer
32564,39099532,SARS-CoV-2 PLpro Inhibition: Evaluating in Silico Repurposed Fidaxomicin's Antiviral Activity Through In Vitro Assessment.,4,4_abstract_title_cells_cell
32565,39095001,Microplastics exposure disrupts nephrogenesis and induces renal toxicity in human iPSC-derived kidney organoids.,4,4_abstract_title_cells_cell
32566,39092473,Astrocyte-derived factors regulate CNS myelination.,1,1_abstract_title_cells_cell
32567,39089370,PB1-F2 of low pathogenicity H7N7 restricts apoptosis in avian cells.,5,5_abstract_title_cells_cancer
32568,39020007,"PTH receptor signalling, osteocytes and bone disease induced by diabetes mellitus.",2,2_cells_cancer_cell_expression
32569,38988064,Dissecting the role of cannabinoids in vascular health and disease.,5,5_abstract_title_cells_cancer
32570,38985972,Unpacking Alternative Features of the Bacterial Chemotaxis System.,8,8_abstract_title_biology_molecular
32571,38945280,Dynamic regulation of CeA gene expression during acute and protracted abstinence from chronic binge drinking of male and female C57BL/6J mice.,2,2_cells_cancer_cell_expression
32572,38943469,"Ordered Transfer from 3D-Oriented MOF Superstructures to Polymeric Films: Microfabrication, Enhanced Chemical Stability, and Anisotropic Fluorescent Patterns.",1,1_abstract_title_cells_cell
32573,38932446,Characterization and Pathogenicity of Soilborne Pathogens in Gloriosa superba: Effects of Single- and Multiple-Pathogen Coinfection on Disease Responses.,1,1_abstract_title_cells_cell
32574,38924610,Low-pass whole genome sequencing as a cost-effective alternative to chromosomal microarray analysis for low- and middle-income countries.,0,0_cells_cell_abstract_title
32575,38924217,Genome sequencing identifies biallelic variants in SCLT1 in a patient with syndromic nephronophthisis: Reflections on the SCLT1-related ciliopathy spectrum.,4,4_abstract_title_cells_cell
32576,38922581,The N6-methyladenosine Epitranscriptomic Landscape of Lung Adenocarcinoma.,5,5_abstract_title_cells_cancer
32577,38918639,Control of mitophagy initiation and progression by the TBK1 adaptors NAP1 and SINTBAD.,0,0_cells_cell_abstract_title
32578,38878257,A C-type lectin from Bothrops jararacussu venom reprograms endothelial cell biology.,8,8_abstract_title_biology_molecular
32579,38848869,Entering the Next Phase: Predicting Biological Effects of Biomolecular Condensates.,6,6_proteins_cell_protein_abstract
32580,38847831,"Thymol as adjuvant in oncology: molecular mechanisms, therapeutic potentials, and prospects for integration in cancer management.",2,2_cells_cancer_cell_expression
32581,38781605,Metals at the Host-Fungal Pathogen Battleground.,3,3_abstract_title_cells_cell
32582,38733572,Vasoactive intestinal peptide exerts an osteoinductive effect in human mesenchymal stem cells.,0,0_cells_cell_abstract_title
32583,38728662,Targeting cellular cathepsins inhibits hepatitis E virus entry.,5,5_abstract_title_cells_cancer
32584,38722172,Caudal Agenesis: Classification Based on the Pathoembryogenesis of the Spinal Cord.,11,11_patients_study_95_risk
32585,38692835,Glial Cell Development and Function in the Zebrafish Central Nervous System.,6,6_proteins_cell_protein_abstract
32586,38648186,Exhaled Volatile Organic Compounds for Asthma Control Classification in Children with Moderate to Severe Asthma: Results from the SysPharmPediA Study.,11,11_patients_study_95_risk
32587,37398384,Advancing Efficacy Prediction for EHR-based Emulated Trials in Repurposing Heart Failure Therapies.,11,11_patients_study_95_risk
32588,39597607,Association of Liver Damage and Quasispecies Maturity in Chronic HCV Patients: The Fate of a Quasispecies.,0,0_cells_cell_abstract_title
32589,39593759,Optimization and Implication of Adipose-Derived Stem Cells in Craniofacial Bone Regeneration and Repair.,2,2_cells_cancer_cell_expression
32590,39544984,Treatment outcomes in patients with papillary thyroid cancer undergoing radiofrequency ablation of metastatic lymph nodes.,11,11_patients_study_95_risk
32591,39525004,HDAC1: a promising target for cancer treatment: insights from a thorough analysis of tumor functions.,2,2_cells_cancer_cell_expression
32592,39482729,Advances in retinal pigment epithelial cell transplantation for retinal degenerative diseases.,5,5_abstract_title_cells_cancer
32593,39321801,Emergence of community behaviors in the gut microbiota upon drug treatment.,3,3_abstract_title_cells_cell
32594,39598360,QSAR Regression Models for Predicting HMG-CoA Reductase Inhibition.,7,7_title_abstract_cell_cells
32595,39593755,"Updated Review of Metal Nanoparticles Fabricated by Green Chemistry Using Natural Extracts: Biosynthesis, Mechanisms, and Applications.",5,5_abstract_title_cells_cancer
32596,39590320,Exploring Salivary Alpha-Amylase as a Biomarker in Periodontitis: A Comparative Analysis of Disease Stages and Clinical Correlations.,1,1_abstract_title_cells_cell
32597,39590318,Microbial Dynamics in Periodontal Regeneration: Understanding Microbiome Shifts and the Role of Antifouling and Bactericidal Materials: A Narrative Review.,7,7_title_abstract_cell_cells
32598,39513901,Advancing CRISPR-Based Solutions for COVID-19 Diagnosis and Therapeutics.,9,9_sarscov2_virus_viral_covid19
32599,39498055,Deciphering the multifaceted role of microRNAs in hepatocellular carcinoma: Integrating literature review and bioinformatics analysis for therapeutic insights.,0,0_cells_cell_abstract_title
32600,39477955,Catalytic peptide-based coacervates for enhanced function through structural organization and substrate specificity.,3,3_abstract_title_cells_cell
32601,39476174,Opportunities for CRISPR-Cas9 application in farm animal genetic improvement.,5,5_abstract_title_cells_cancer
32602,39422222,Investigating the Significances of Thiol Functionalities in SARS-CoV-2 Using Carbon Dots for Viral Inhibition.,9,9_sarscov2_virus_viral_covid19
32603,39418394,Protein Recruitment to Dynamic DNA-RNA Host Condensates.,6,6_proteins_cell_protein_abstract
32604,39594882,The Role of Early Child Nutrition in Pulmonary Hypertension-A Narrative Review.,4,4_abstract_title_cells_cell
32605,39590313,Calcium-Binding Protein and Polymorphism in Musa spp. Somaclones Resistant to Fusarium oxysporum.,8,8_abstract_title_biology_molecular
32606,39554202,Nanoscale 3D DNA tracing reveals the mechanism of self-organization of mitotic chromosomes.,1,1_abstract_title_cells_cell
32607,39554145,Identification of a series of pyrrolo-pyrimidine based SARS-CoV-2 Mac1 inhibitors that repress coronavirus replication.,4,4_abstract_title_cells_cell
32608,39483253,Decoding the role of mycobacterial lipid remodelling and membrane dynamics in antibiotic tolerance.,3,3_abstract_title_cells_cell
32609,39472935,EZH2 inhibition or genetic ablation suppresses cyst growth in autosomal dominant polycystic kidney disease.,4,4_abstract_title_cells_cell
32610,39472779,Synergistic potential of Leu10-teixobactin and cefepime against multidrug-resistant Staphylococcus aureus.,3,3_abstract_title_cells_cell
32611,39472599,"Retraction Note: Bio synthesis, comprehensive characterization, and multifaceted therapeutic applications of BSA-Resveratrol coated platinum nanoparticles.",4,4_abstract_title_cells_cell
32612,39472574,Identification of gut microbiome features associated with host metabolic health in a large population-based cohort.,0,0_cells_cell_abstract_title
32613,39471233,A novel 4-aminoquinoline chemotype with multistage antimalarial activity and lack of cross-resistance with PfCRT and PfMDR1 mutants.,4,4_abstract_title_cells_cell
32614,39470818,Domestication and engineering of pennycress (Thlaspi arvense L.): challenges and opportunities for sustainable bio-based feedstocks.,1,1_abstract_title_cells_cell
32615,39441638,A myeloid differentiation-like protein in partnership with Toll5 from the pest insect Spodoptera litura senses baculovirus infection.,0,0_cells_cell_abstract_title
32616,39596706,Detection of Chlamydia trachomatis and Neisseria gonorrhoeae (and Its Resistance to Ciprofloxacin): Validation of a Molecular Biology Tool for Rapid Diagnosis and Treatment.,1,1_abstract_title_cells_cell
32617,39590311,Zinc in Dermatology: Exploring Its Emerging Role in Enhancing Botulinum Toxin Formulations and Clinical Efficacy.,1,1_abstract_title_cells_cell
32618,39554129,Making Neurobots and Chimerical Ctenophores.,8,8_abstract_title_biology_molecular
32619,39554036,Mechanistic insights into structure-based design of a Lyme disease subunit vaccine.,4,4_abstract_title_cells_cell
32620,39468638,Genotype‒phenotype correlation in recessive DNAJB4 myopathy.,11,11_patients_study_95_risk
32621,39468221,Recombinant SARS-CoV-2 Delta/Omicron BA.5 emerging in an immunocompromised long-term infected COVID-19 patient.,9,9_sarscov2_virus_viral_covid19
32622,39467921,An ovine septic shock model of live bacterial infusion.,11,11_patients_study_95_risk
32623,39466469,Unveiling Lodderomyces elongisporus as an Emerging Yeast Pathogen: A Holistic Approach to Microbiological Diagnostic Strategies.,1,1_abstract_title_cells_cell
32624,39465382,Molecular landscape of the overlap between Alzheimer's disease and somatic insulin-related diseases.,0,0_cells_cell_abstract_title
32625,39271121,Advancing microRNA target site prediction with transformer and base-pairing patterns.,1,1_abstract_title_cells_cell
32626,39180404,A plant-specific clade of serine/arginine-rich proteins regulates RNA splicing homeostasis and thermotolerance in tomato.,5,5_abstract_title_cells_cancer
32627,38989614,Partial wrapping of single-stranded DNA by replication protein A and modulation through phosphorylation.,1,1_abstract_title_cells_cell
32628,39460900,Adiponectin-induced activation of ERK1/2 drives fibrosis in retinal pigment epithelial cells.,1,1_abstract_title_cells_cell
32629,39456036,Microbiome associated to an H2-emitting zone in the São Francisco basin Brazil.,3,3_abstract_title_cells_cell
32630,39484395,Bystander base editing interferes with visual function restoration in Leber congenital amaurosis.,4,4_abstract_title_cells_cell
32631,39455573,Functional redundancy in Candida auris cell surface adhesins crucial for cell-cell interaction and aggregation.,1,1_abstract_title_cells_cell
32632,39453560,CRISPR/Cas system-mediated base editing in crops: recent developments and future prospects.,0,0_cells_cell_abstract_title
32633,39599774,"Single-Cell Virology: On-Chip, Quantitative Characterization of the Dynamics of Virus Spread from One Single Cell to Another.",9,9_sarscov2_virus_viral_covid19
32634,39449135,Lack of Candida africana in Ugandan pregnant women: results from a pilot study using MALDI-ToF.,5,5_abstract_title_cells_cancer
32635,39449013,Blautia coccoides and its metabolic products enhance the efficacy of bladder cancer immunotherapy by promoting CD8+ T cell infiltration.,2,2_cells_cancer_cell_expression
32636,39448959,Unveiling the microRNA landscape in pancreatic ductal adenocarcinoma patients and cancer cell models.,2,2_cells_cancer_cell_expression
32637,39392916,Probing Bioinorganic Electron Spin Decoherence Mechanisms with an Fe2S2 Metalloprotein.,6,6_proteins_cell_protein_abstract
32638,39235232,Interspecies surfactants serve as public goods enabling surface motility in Pseudomonas aeruginosa.,8,8_abstract_title_biology_molecular
32639,39599769,Transcriptional Modulation of Plant Defense Genes by a Bipartite Begomovirus Promotes the Performance of Its Whitefly Vector.,4,4_abstract_title_cells_cell
32640,39590297,SARS-CoV-2 and Environmental Changes: The Perfect Storm.,5,5_abstract_title_cells_cancer
32641,39583507,"Recent Trends in Liver Cancer: Epidemiology, Risk Factors, and Diagnostic Techniques.",5,5_abstract_title_cells_cancer
32642,39443877,Assessment of the development of social skills among undergraduate medical students through participation in a socio-educational project during the coronavirus disease (COVID)-19 pandemic: a Brazilian pilot study.,9,9_sarscov2_virus_viral_covid19
32643,39438459,Hepatocyte-specific NR5A2 deficiency induces pyroptosis and exacerbates non-alcoholic steatohepatitis by downregulating ALDH1B1 expression.,5,5_abstract_title_cells_cancer
32644,39414592,[Expert consensus on BRAF inhibitors in the treatment of malignant solid tumors (2024 edition)].,5,5_abstract_title_cells_cancer
32645,39283104,Bacteriocin distribution patterns in Enterococcus faecium and Enterococcus lactis: bioinformatic analysis using a tailored genomics framework.,10,10_resistance_isolates_strains_study
32646,39691297,Novel SARS-COV2 poly epitope phage-based candidate vaccine and its immunogenicity.,9,9_sarscov2_virus_viral_covid19
32647,39599470,Serological Evidence of Potential Marburg Virus Circulation in Livestock and Dogs in Ghana.,9,9_sarscov2_virus_viral_covid19
32648,39596552,The Chilean COVID-19 Genomics Network Biorepository: A Resource for Multi-Omics Studies of COVID-19 and Long COVID in a Latin American Population.,9,9_sarscov2_virus_viral_covid19
32649,39590292,Impact of Hyponatremia and ADH Secretion in MIS-C and COVID-19: An Integrative Approach of Prognostic and Diagnostic Markers.,1,1_abstract_title_cells_cell
32650,39484605,Mitochondrial small RNA alterations associated with increased lysosome activity in an Alzheimer's Disease Mouse Model uncovered by PANDORA-seq.,0,0_cells_cell_abstract_title
32651,39484542,Spatial memory in Alzheimer's disease 5XFAD mice is enhanced by XPO1 inhibitor KPT-330.,5,5_abstract_title_cells_cancer
32652,39464435,Quantitative Biodistribution of OMVs Using SPECT/CT Imaging with HYNIC-Duramycin Radiolabeling.,7,7_title_abstract_cell_cells
32653,39464065,"Novel antibodies detect nucleocytoplasmic O-fucose in protist pathogens, cellular slime molds, and plants.",6,6_proteins_cell_protein_abstract
32654,39418309,Evolutionary origins of the lysosome-related organelle sorting machinery reveal ancient homology in post-endosome trafficking pathways.,8,8_abstract_title_biology_molecular
32655,39395169,DNA methylation activates retron Ec86 filaments for antiphage defense.,7,7_title_abstract_cell_cells
32656,39315779,Genome-centric metagenomics provides insights into the core microbial community and functional profiles of biofloc aquaculture.,8,8_abstract_title_biology_molecular
32657,39287392,Elucidating the molecular properties and anti-mycobacterial activity of cysteine peptidase domain of D29 mycobacteriophage endolysin.,10,10_resistance_isolates_strains_study
32658,39459978,Inflammasome-Driven Fatal Acute-on-Chronic Liver Failure Triggered by Mild COVID-19.,3,3_abstract_title_cells_cell
32659,39434184,Balancing the scales: assessing the impact of irrigation and pathogen burden on potato blackleg disease and soil microbial communities.,10,10_resistance_isolates_strains_study
32660,39434114,"Senolytics To slOw Progression of Sepsis (STOP-Sepsis) in elderly patients: Study protocol for a multicenter, randomized, adaptive allocation clinical trial.",0,0_cells_cell_abstract_title
32661,39434078,"MicroRNAs are enriched at COVID-19 genomic risk regions, and their blood levels correlate with the COVID-19 prognosis of cancer patients infected by SARS-CoV-2.",9,9_sarscov2_virus_viral_covid19
32662,39456267,Potential Roles of IP3 Receptors and Calcium in Programmed Cell Death and Implications in Cardiovascular Diseases.,6,6_proteins_cell_protein_abstract
32663,39428398,Cryo-EM structures of ryanodine receptors and diamide insecticides reveal the mechanisms of selectivity and resistance.,10,10_resistance_isolates_strains_study
32664,39451571,Orphan GPCRs in Neurodegenerative Disorders: Integrating Structural Biology and Drug Discovery Approaches.,7,7_title_abstract_cell_cells
32665,39426946,LAP2α orchestrates alternative lengthening of telomeres suppression through telomeric heterochromatin regulation with HDAC1: unveiling a potential therapeutic target.,4,4_abstract_title_cells_cell
32666,39474075,Re-programming by a six-factor-secretome in the patient tumor ecosystem during nutrient stress and drug response.,1,1_abstract_title_cells_cell
32667,39451775,Antibody-Drug Conjugates for the Treatment of Non-Small Cell Lung Cancer with Central Nervous System Metastases.,2,2_cells_cancer_cell_expression
32668,39424827,Polymeric nanoparticles loaded with vincristine and carbon dots for hepatocellular carcinoma therapy and imaging.,1,1_abstract_title_cells_cell
32669,39424629,Molecular mechanisms of re-emerging chloramphenicol susceptibility in extended-spectrum beta-lactamase-producing Enterobacterales.,7,7_title_abstract_cell_cells
32670,39421942,Barriers to global engagement for African researchers: A position paper from the Alliance for Medical Research in Africa (AMedRA).,8,8_abstract_title_biology_molecular
32671,39351203,Superenhancer-driven circRNA Myst4 involves in pulmonary artery smooth muscle cell ferroptosis in pulmonary hypertension.,4,4_abstract_title_cells_cell
32672,39464119,Mechanistic Studies of Small Molecule Ligands Selective to RNA Single G Bulges.,5,5_abstract_title_cells_cancer
32673,39458386,My Early Years of Yeast Mitochondrial Genetics.,8,8_abstract_title_biology_molecular
32674,39456967,Targeting Lipid Metabolism in Cancer Stem Cells for Anticancer Treatment.,1,1_abstract_title_cells_cell
32675,39423805,Pioneering discovery and therapeutics at the brain-vascular-immune interface.,2,2_cells_cancer_cell_expression
